LABEL,YEAR,Working Age Population (15-64 years),0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years and over,Total,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years and over,Total
Western Australia,2016,67.1,"88,615","87,150","78,541","79,548","89,877","102,628","103,612","90,016","89,184","87,727","83,022","75,836","65,671","58,944","41,490","29,122","18,532","15,669","1,285,184","84,256","83,051","74,955","75,364","84,043","99,772","100,439","87,375","87,108","87,307","82,539","77,040","67,750","58,796","42,064","32,275","23,369","26,264","1,273,767"
Tasmania,2011,65.2,"16,504","16,135","17,018","17,642","16,641","15,303","14,047","15,526","17,117","17,731","18,584","17,443","16,666","13,130","9,904","6,883","4,948","3,568","254,790","15,317","14,953","15,996","16,245","15,762","15,174","14,486","16,277","17,656","18,110","18,992","17,482","16,361","12,928","9,904","7,928","6,386","6,736","256,693"
Tasmania,2012,64.7,"16,432","16,111","16,789","17,699","16,365","15,188","14,188","14,909","17,348","17,042","18,736","17,485","16,655","14,090","10,352","7,096","5,028","3,707","255,220","15,268","14,970","15,733","16,206","15,414","14,965","14,707","15,404","17,876","17,677","19,121","17,835","16,318","13,847","10,263","8,075","6,403","6,804","256,886"
Tasmania,2013,64.2,"16,246","16,422","16,507","17,629","16,350","14,875","14,380","14,566","17,152","16,751","18,557","17,678","16,729","14,825","10,696","7,394","5,087","3,857","255,701","15,194","15,201","15,564","16,136","15,114","14,855","14,761","14,929","17,826","17,360","19,104","18,060","16,583","14,587","10,579","8,217","6,440","6,856","257,366"
Tasmania,2014,63.8,"15,978","16,708","16,248","17,539","16,428","14,745","14,322","14,284","16,747","16,557","18,549","18,048","16,829","15,199","11,238","7,730","5,205","4,027","256,381","15,051","15,494","15,215","16,298","14,875","14,720","14,895","14,695","17,433","17,300","19,056","18,283","16,932","15,145","11,133","8,337","6,520","6,963","258,345"
Tasmania,2015,63.5,"15,678","16,762","16,183","17,320","16,707","14,741","14,459","14,146","16,138","16,715","18,219","18,271","16,974","15,702","11,661","8,178","5,242","4,255","257,351","14,993","15,529","15,058","16,130","15,021","14,404","15,066","14,523","17,112","17,314","18,684","18,681","17,186","15,627","11,739","8,623","6,478","7,067","259,235"
Tasmania,2016,63.2,"15,471","16,811","15,834","16,508","16,450","15,285","14,875","13,848","15,506","16,702","17,423","18,295","16,958","16,149","11,871","8,219","5,231","4,292","255,728","14,652","15,769","14,926","15,504","15,329","15,363","15,394","14,783","16,445","17,770","18,268","19,030","17,419","16,253","12,179","9,037","6,465","7,274","261,860"
Northern Territory,2011,71.7,"9,609","8,993","8,648","8,615","10,501","11,513","9,841","9,450","9,106","8,348","7,776","6,711","5,450","3,225","1,964",947,566,220,"121,483","8,883","8,582","7,919","7,481","8,878","10,416","9,310","8,813","8,582","7,657","7,200","5,902","4,267","2,527","1,525",883,574,410,"109,809"
Northern Territory,2012,71.5,"9,682","9,106","8,696","8,645","10,593","11,932","10,412","9,403","9,339","8,307","7,977","6,847","5,521","3,560","2,117","1,022",589,266,"124,014","9,099","8,564","8,082","7,538","8,717","10,756","9,665","8,785","8,757","7,668","7,323","6,147","4,378","2,767","1,658",921,601,441,"111,867"
Northern Territory,2013,71.6,"9,826","9,207","8,749","8,939","10,931","12,676","11,612","9,656","9,645","8,343","8,151","6,962","5,633","3,880","2,209","1,118",606,316,"128,459","9,266","8,652","8,315","7,560","8,743","10,963","10,039","8,886","8,869","7,649","7,388","6,331","4,600","3,019","1,751","1,001",624,454,"114,110"
Northern Territory,2014,71.3,"9,771","9,245","8,660","8,816","10,661","12,652","11,749","9,689","9,642","8,384","8,077","7,055","5,731","4,136","2,352","1,198",603,345,"128,766","9,289","8,676","8,264","7,514","8,592","10,819","10,205","8,871","8,786","7,764","7,341","6,439","4,794","3,139","1,935","1,026",640,508,"114,602"
Northern Territory,2015,71.0,"9,682","9,264","8,730","8,579","10,530","12,580","11,852","9,845","9,523","8,513","8,062","7,032","5,872","4,294","2,511","1,315",631,404,"129,219","9,318","8,695","8,244","7,430","8,298","10,780","10,430","8,849","8,638","7,927","7,316","6,487","5,016","3,287","2,040","1,119",683,531,"115,088"
Northern Territory,2016,71.3,"9,728","9,295","8,178","7,820","9,742","12,477","11,804","9,819","9,148","8,862","8,059","6,913","5,692","4,145","2,411","1,348",575,387,"126,403","9,648","8,932","7,826","7,084","8,753","11,925","11,449","9,359","8,521","8,429","7,604","6,662","5,129","3,471","2,050","1,229",710,556,"119,337"
Australian Capital Territory,2011,71.2,"12,512","11,185","10,708","12,830","17,086","16,756","14,387","13,745","13,155","12,117","11,612","10,139","9,086","6,360","4,430","3,058","2,184","1,646","182,996","11,620","10,526","10,378","12,149","16,426","16,153","14,419","13,764","13,230","12,712","12,221","10,698","9,485","6,666","4,800","3,651","2,946","3,145","184,989"
Australian Capital Territory,2012,70.7,"13,038","11,621","10,717","12,312","17,247","17,078","15,107","13,882","13,599","12,097","11,896","10,230","8,970","6,939","4,691","3,187","2,257","1,748","186,616","12,157","10,886","10,422","11,611","16,420","16,642","15,151","13,818","13,801","12,557","12,438","10,752","9,517","7,333","5,021","3,810","2,968","3,263","188,567"
Australian Capital Territory,2013,70.1,"13,445","11,931","10,765","11,810","17,102","17,137","15,777","14,034","13,909","12,178","12,023","10,385","9,043","7,400","4,845","3,383","2,285","1,878","189,330","12,648","11,171","10,513","11,283","16,204","16,928","15,762","13,810","14,096","12,650","12,451","10,899","9,603","7,895","5,275","3,972","2,986","3,438","191,584"
Australian Capital Territory,2014,69.6,"13,724","12,330","10,885","11,750","16,549","16,883","16,267","14,189","14,053","12,337","12,062","10,472","9,134","7,748","5,071","3,592","2,328","2,006","191,380","12,983","11,430","10,579","11,253","15,646","16,984","16,150","13,966","14,153","12,757","12,521","11,216","9,687","8,234","5,619","4,152","3,049","3,587","193,966"
Australian Capital Territory,2015,69.0,"13,990","12,665","11,117","11,647","15,944","16,853","16,794","14,336","14,188","12,616","12,043","10,756","9,196","8,139","5,349","3,748","2,420","2,115","193,916","13,248","11,999","10,635","11,384","15,121","17,008","16,466","14,240","14,280","12,970","12,485","11,395","9,816","8,581","6,021","4,315","3,115","3,711","196,790"
Australian Capital Territory,2016,68.9,"14,618","13,515","11,424","12,737","16,854","17,230","17,164","15,217","14,181","13,100","11,844","10,888","9,095","8,299","5,731","3,874","2,485","2,260","200,516","13,488","12,405","10,814","12,399","16,238","17,424","17,439","15,054","14,154","13,225","12,429","11,434","9,928","8,875","6,243","4,510","3,182","3,711","202,952"
